,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
370,Prikubanskiy,75,RU,1548730800,93,44.95,39.03,35.6,4.47
371,Anloga,20,GH,1548727200,88,5.79,0.9,80.6,6.93
372,Berezovyy,24,RU,1548732342,55,51.67,135.7,5.85,3.15
373,Murray Bridge,0,AU,1548732345,67,-35.12,139.28,79.69,3.94
374,Taywarah,48,AF,1548732347,77,33.35,64.42,18.76,2.48
375,Mount Gambier,0,AU,1548730800,34,-37.83,140.78,82.4,13.87
376,Leku,0,ET,1548732351,62,6.87,38.44,47.43,3.94
377,Kaeo,0,NZ,1548732353,39,-35.1,173.78,87.12,10.42
378,Aripuana,76,BR,1548732355,95,-9.17,-60.63,75.42,2.26
379,Voloshka,88,RU,1548732357,77,61.33,40.09,9.31,11.32
380,Thio,0,NC,1548730800,48,-21.61,166.22,87.8,20.8
381,Enkoping,92,SE,1548730200,86,59.64,17.08,33.8,3.36
382,Sept-Iles,5,CA,1548727200,51,50.2,-66.38,-13.01,11.41
383,Port Hedland,0,AU,1548730800,59,-20.31,118.58,89.6,10.29
384,Kununurra,44,AU,1548730800,50,-15.77,128.74,95.0,10.29
385,Sungairaya,24,ID,1548732371,75,0.7,108.9,85.72,3.6
386,Oranjestad,40,AW,1548730800,78,12.52,-70.03,78.8,14.99
387,Bouake,0,CI,1548732375,47,7.69,-5.02,71.19,0.47
388,Ponta do Sol,24,BR,1548732377,91,-20.63,-46.0,64.89,5.61
389,Umm Lajj,0,SA,1548732379,100,25.02,37.27,52.69,13.78
390,Springdale,40,US,1548730680,58,36.19,-94.13,28.04,10.29
391,Laguna,32,MX,1548732384,68,27.52,-110.01,58.77,2.26
392,Manado,40,ID,1548730800,83,1.49,124.85,82.4,3.36
393,Bonavista,20,CA,1548732388,93,48.65,-53.11,31.5,18.03
394,Talnakh,0,RU,1548732391,0,69.49,88.39,-44.38,2.82
395,Praya,40,ID,1548730800,66,-8.71,116.27,87.8,8.05
396,Bella Union,88,CO,1548732395,78,8.5,-73.35,68.94,2.37
397,Kizukuri,75,JP,1548730800,69,40.81,140.39,35.6,3.36
398,Banyumas,8,ID,1548732399,92,-7.52,109.29,85.32,5.5
399,Iskateley,0,RU,1548732402,60,67.68,53.15,-1.99,14.0
400,Qinhuangdao,68,CN,1548732404,25,39.94,119.59,36.0,7.63
401,Orange,32,AU,1548732406,49,-33.28,149.1,89.46,8.08
402,Nishihara,20,JP,1548731220,23,35.74,139.53,48.2,13.87
403,Donskoy,0,RU,1548730800,92,47.12,39.32,21.2,2.24
404,Cowra,0,AU,1548732413,70,-33.84,148.69,86.71,7.85
405,Suksun,0,RU,1548732415,59,57.15,57.4,-6.71,3.38
406,Wilmington Island,1,US,1548731700,81,32.0,-80.97,46.4,3.36
407,Yumbe,32,UG,1548732419,38,3.47,31.25,78.93,10.98
408,Sechelt,75,CA,1548730800,93,49.47,-123.76,37.4,2.24
409,Jalpan,0,MX,1548732424,84,19.0,-100.36,42.66,1.81
410,Walvis Bay,92,NA,1548730800,88,-22.95,14.51,62.6,3.36
411,Pakokku,0,MM,1548732429,85,21.33,95.09,72.0,1.92
412,Bayshore Gardens,1,US,1548731700,86,27.43,-82.59,51.98,9.08
413,Buchmany,88,UA,1548732433,95,51.07,28.04,36.0,12.77
414,Hofn,56,IS,1548732435,100,64.25,-15.21,28.08,17.81
415,Lapua,75,FI,1548730200,85,62.97,23.01,12.2,10.29
416,Karratha,0,AU,1548732439,45,-20.74,116.85,92.56,6.62
417,Baracoa,20,CU,1548732442,100,20.35,-74.5,75.01,7.4
418,Calvia,20,ES,1548730800,76,39.57,2.51,50.0,3.36
419,Puerto Escondido,0,MX,1548732446,100,15.86,-97.07,81.04,13.33
420,Odienne,0,CI,1548732448,55,9.51,-7.57,59.49,2.26
421,Sydney,0,AU,1548730800,58,-33.85,151.22,93.2,18.34
422,Ugoofaaru,64,MV,1548732452,99,5.67,73.0,82.12,10.2
423,Great Yarmouth,56,GB,1548730200,86,52.61,1.73,30.2,9.17
424,Presidencia Roque Saenz Pena,32,AR,1548732457,70,-26.79,-60.44,83.34,12.66
425,Ucluelet,24,CA,1548732222,99,48.94,-125.55,34.65,2.93
426,Lorengau,24,PG,1548732461,94,-2.02,147.27,84.87,10.42
427,Vandavasi,75,IN,1548730800,83,12.51,79.61,77.0,4.7
428,Khani,75,GE,1548730800,93,41.96,42.96,42.8,4.7
429,Dzhebariki-Khaya,36,RU,1548732468,0,62.22,135.8,-32.95,2.71
430,Usvyaty,68,RU,1548732470,84,55.75,30.75,16.69,11.99
431,Phalombe,64,MW,1548732472,96,-15.81,35.65,64.8,3.38
432,Esperance,75,TT,1548730800,83,10.24,-61.45,77.0,5.95
433,Grand Forks,90,US,1548731700,78,47.91,-97.06,-0.94,13.87
434,Vila Velha,40,BR,1548730800,83,-3.71,-38.6,80.6,6.93
435,Vologda,92,RU,1548732481,86,59.22,39.89,16.47,9.42
436,Lagos,20,NG,1548727200,94,6.46,3.39,78.8,6.85
437,Palimbang,20,PH,1548730800,44,14.9,120.78,82.4,11.41
438,Kokopo,20,PG,1548732487,93,-4.34,152.27,85.68,7.4
439,Coahuayana,0,MX,1548732490,62,18.62,-100.35,54.27,2.15
440,Oistins,20,BB,1548730800,73,13.07,-59.53,75.2,13.87
441,Pacifica,75,US,1548730560,77,37.61,-122.49,60.8,13.87
442,Alice Springs,32,AU,1548730800,23,-23.7,133.88,95.0,12.75
443,Novikovo,64,UA,1548732498,100,45.05,34.56,31.5,5.17
444,Vila Franca do Campo,75,PT,1548729000,82,37.72,-25.43,55.4,1.12
445,Kudahuvadhoo,68,MV,1548732503,100,2.67,72.89,81.18,12.88
446,Hirara,20,JP,1548730800,56,24.8,125.28,73.4,9.17
447,Sabang,92,PH,1548732507,90,13.72,123.58,75.24,13.67
448,Jasper,76,US,1548731700,71,33.83,-87.28,55.94,5.28
449,Marawi,64,PH,1548732512,80,8.0,124.29,74.52,3.38
450,Whitefish,1,US,1548730500,87,48.41,-114.33,10.94,2.48
451,Recife,64,BR,1548732516,90,-28.48,-48.99,71.73,2.59
452,Kemin,0,KG,1548732518,74,42.79,75.7,7.02,4.61
453,Hutchinson,1,US,1548730560,70,38.06,-97.93,26.06,5.82
454,Henties Bay,92,NA,1548732522,100,-22.12,14.28,62.01,4.27
455,Moree,56,AU,1548730800,26,-29.46,149.84,93.2,14.99
456,Vasvar,40,HU,1548729900,100,47.05,16.8,30.2,4.7
457,Rio Gallegos,0,AR,1548730800,80,-51.62,-69.22,48.2,9.17
458,Tupik,48,RU,1548732531,61,54.43,119.94,-4.64,3.49
459,Kwinana,0,AU,1548730800,39,-32.25,115.77,86.0,14.99
460,Kaitangata,24,NZ,1548732535,86,-46.28,169.85,73.71,3.15
461,Half Moon Bay,1,US,1548730560,87,37.46,-122.43,60.8,6.93
462,Osmena,0,PH,1548732540,83,12.17,124.59,79.96,13.22
463,Taltal,12,CL,1548732542,94,-25.41,-70.49,61.2,1.81
464,Ixtapa,5,MX,1548730020,94,20.71,-105.21,69.8,1.36
465,Bjornevatn,12,NO,1548730200,83,69.67,29.98,-7.61,14.99
466,Kholodnyy,0,RU,1548732549,0,62.72,147.95,-31.87,3.15
467,Zyryanka,0,RU,1548732551,50,65.73,150.89,-30.16,3.71
468,Carndonagh,68,IE,1548732553,90,55.25,-7.27,41.94,14.9
469,Moron,0,VE,1548732555,93,10.49,-68.2,64.26,2.26
470,Izhma,24,RU,1548732557,75,65.01,53.91,-2.93,4.5
471,Kamariotissa,75,GR,1548732000,93,40.48,25.47,57.2,9.17
472,Luau,44,CD,1548732562,97,-10.7,22.23,65.61,2.15
473,Key Largo,1,US,1548730560,86,25.09,-80.45,50.18,10.2
474,Verkhoyansk,44,RU,1548732566,0,67.55,133.39,-51.71,0.25
475,Takestan,90,IR,1548730800,100,36.07,49.69,41.0,9.17
476,San Diego de los Banos,44,CU,1548732570,94,22.65,-83.37,57.37,3.38
477,Ondangwa,36,NA,1548730800,73,-17.91,15.98,75.2,4.7
478,Kemptville,90,CA,1548730800,49,45.02,-75.64,1.04,14.99
479,Kraluv Dvur,0,CZ,1548729000,80,49.95,14.03,35.6,13.87
480,Faya,5,SA,1548730800,54,18.39,42.45,57.2,2.37
481,Marienburg,75,DE,1548730200,89,52.12,9.98,33.8,12.75
482,Vallenar,68,CL,1548732583,90,-28.58,-70.76,64.84,1.59
483,Belaya Gora,48,RU,1548732586,0,68.54,146.19,-35.11,3.94
484,Laukaa,90,FI,1548730200,85,62.42,25.95,12.2,6.93
485,Quepos,0,CR,1548730800,68,9.43,-84.16,69.8,17.22
486,Skogn,80,NO,1548732592,85,63.7,11.19,8.01,2.37
487,Kirovskiy,0,RU,1548732594,68,45.09,133.51,17.32,3.27
488,Yumen,8,CN,1548732597,64,40.29,97.04,9.54,1.92
489,Macklin,0,CA,1548732599,63,52.34,-109.94,-0.59,9.64
490,Stange,0,NO,1548730200,84,60.72,11.19,6.8,2.37
491,Okoneshnikovo,0,RU,1548732603,75,54.84,75.08,-16.79,10.65
492,Antalaha,48,MG,1548732606,99,-14.9,50.28,76.27,10.2
493,Bull Savanna,36,JM,1548732608,91,17.89,-77.59,69.66,2.59
494,Taoudenni,0,ML,1548732610,52,22.68,-3.98,44.86,2.82
495,Beringovskiy,24,RU,1548732613,96,63.05,179.32,2.74,4.83
496,Xuddur,0,SO,1548732615,82,4.12,43.89,67.09,12.1
497,Naron,40,ES,1548730800,81,43.52,-8.15,50.0,13.87
498,Balogo,80,PH,1548732619,100,12.98,124.02,77.49,19.71
499,Riohacha,0,CO,1548732622,100,11.54,-72.91,74.79,6.17
500,Santa Marta,40,CO,1548730800,83,11.24,-74.21,80.6,4.7
501,Yacuiba,64,AR,1548732361,91,-22.01,-63.68,72.81,4.61
502,Nitra,76,SK,1548730800,92,48.31,18.09,35.6,1.12
503,Carutapera,80,BR,1548732631,95,-1.2,-46.02,77.49,6.17
504,Thurso,88,GB,1548730200,100,58.6,-3.52,33.8,6.93
505,Goundam,0,ML,1548732635,54,16.42,-3.66,56.7,9.86
506,Kamiichi,75,JP,1548730800,64,36.7,137.36,39.2,4.7
507,Neiafu,40,TO,1548730800,66,-18.65,-173.98,84.2,16.11
508,Conakry,0,GN,1548732642,100,9.52,-13.7,80.28,7.74
509,Okha,0,RU,1548732644,77,53.59,142.95,-3.34,7.4
510,Wadi Musa,0,JO,1548732646,88,30.32,35.48,39.15,2.15
511,Garissa,8,KE,1548732649,86,-0.46,39.64,70.65,6.17
512,Praia da Vitoria,75,PT,1548727200,87,38.73,-27.07,55.4,6.96
513,Isaka,48,CD,1548732653,97,-2.81,17.72,72.09,2.15
514,San Patricio,8,PY,1548732655,62,-26.98,-56.83,82.17,4.83
515,Coos Bay,1,US,1548730560,79,43.37,-124.22,48.92,3.36
516,Inyonga,76,TZ,1548732659,93,-6.72,32.06,64.44,3.15
517,Teguldet,80,RU,1548732662,57,57.31,88.17,2.7,11.32
518,Shahr-e Babak,36,IR,1548732664,77,30.12,55.12,43.51,11.54
519,Carbonia,20,IT,1548732000,70,39.17,8.53,46.4,8.05
520,Wamba,36,CD,1548732668,78,2.14,27.99,74.52,2.82
521,Dafeng,56,CN,1548732670,70,33.2,120.46,47.97,6.96
522,Puerto del Rosario,0,ES,1548730800,77,28.5,-13.86,60.8,13.87
523,Asyut,0,EG,1548730800,90,27.18,31.19,42.8,3.27
524,Shorewood,75,US,1548731700,77,43.09,-87.89,6.98,17.22
525,Morgan City,90,US,1548731700,96,29.7,-91.21,57.02,5.61
526,Riviere-au-Renard,5,CA,1548730800,63,49.0,-64.4,-5.81,6.93
527,Khorixas,0,NA,1548732683,46,-20.37,14.96,54.31,2.82
